1,-1500,A Time to Kill,John Grisham,12.99,1,24,0,05/01/1998
2,1000,Blood and Smoke,Stephen King,0,1,24,0,01/01/2000
3,-200,The Rainmaker,John Grisham,7.99,0,48,0,12/01/2001
4,350,The Green Mile,Stephen King,11.10,1,24,0,01/01/1992
5,700,Misery,Stephen King,7.70,0,na,0,01/01/2003
6,-1200,The Dark Half,Stephen King,0,0,48,0,10/30/1999
7,1500,The Partner,John Grisham,12.99,1,48,1,01/01/2005
8,500,It,Stephen King,9.70,0,na,0,10/15/2001
9,400,Cousin Bette,Honore de Balzac,0,1,1,0,12/01/1991
10,-100,Boris Godunov,Alexandr Pushkin,7.15,1,1,0,01/01/1999
11,-150,Alice in Wonderland,Lewis Carroll,4.15,1,1,0,01/01/1999
